epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2825,0.80787,3.40835,1.37603,0.00765,0.7989,0.09782,0.07056,0.70705,3.23943,1.31268,0.000299165,0.000299165,0.000299165
2,36.197,0.8092,2.67244,1.35731,0.18598,0.48396,0.18519,0.13679,0.91361,2.83877,1.5518,0.000594713,0.000594713,0.000594713
3,53.4493,0.79559,2.21432,1.3566,0.28205,0.43517,0.3042,0.22604,0.91962,2.28509,1.47942,0.000882762,0.000882762,0.000882762
4,69.8815,0.7778,1.91274,1.32843,0.43985,0.48492,0.40947,0.28778,1.0735,2.10661,1.62463,0.000875253,0.000875253,0.000875253
5,86.0856,0.77841,1.77247,1.3231,0.47629,0.49293,0.41677,0.29411,0.96622,2.10778,1.53234,0.000864004,0.000864004,0.000864004
6,101.938,0.72174,1.56255,1.29066,0.57523,0.50439,0.49802,0.39539,0.84459,1.93021,1.36688,0.000852756,0.000852756,0.000852756
7,119.373,0.70537,1.4395,1.26371,0.53018,0.58046,0.55183,0.43969,0.80935,1.67239,1.35299,0.000841507,0.000841507,0.000841507
8,135.581,0.68896,1.36203,1.26033,0.60858,0.56958,0.57535,0.45368,0.8888,1.66559,1.40743,0.000830258,0.000830258,0.000830258
9,152.143,0.67673,1.30478,1.24698,0.59319,0.55366,0.55869,0.39846,1.00784,1.87846,1.50811,0.000819009,0.000819009,0.000819009
10,167.478,0.6586,1.21157,1.2363,0.63816,0.50759,0.53044,0.40364,0.86612,1.96882,1.37128,0.00080776,0.00080776,0.00080776
11,183.17,0.6557,1.15038,1.22808,0.67797,0.56134,0.60265,0.48937,0.76867,1.8082,1.31732,0.000796511,0.000796511,0.000796511
12,198.253,0.64031,1.11797,1.22661,0.71142,0.57163,0.63763,0.53871,0.69429,1.54236,1.24212,0.000785262,0.000785262,0.000785262
13,213.987,0.64252,1.07321,1.22018,0.73137,0.59809,0.65013,0.51245,0.81289,1.53033,1.35528,0.000774013,0.000774013,0.000774013
14,229.137,0.61793,1.02596,1.20144,0.75674,0.56025,0.65077,0.53315,0.73339,1.48898,1.26515,0.000762765,0.000762765,0.000762765
15,244.824,0.59765,0.98648,1.19568,0.69429,0.57461,0.66226,0.54959,0.75143,1.38567,1.27747,0.000751516,0.000751516,0.000751516
16,259.472,0.60983,0.95904,1.19733,0.76903,0.66521,0.73571,0.58401,0.79234,1.26591,1.33353,0.000740267,0.000740267,0.000740267
17,275.183,0.58645,0.91169,1.19052,0.71604,0.64978,0.69503,0.57302,0.74647,1.312,1.2529,0.000729018,0.000729018,0.000729018
18,289.856,0.56838,0.89253,1.18454,0.77792,0.59046,0.68111,0.56408,0.66529,1.28818,1.17803,0.000717769,0.000717769,0.000717769
19,306.73,0.59576,0.8915,1.19226,0.71425,0.55688,0.64323,0.52367,0.72833,1.83361,1.25861,0.00070652,0.00070652,0.00070652
20,321.455,0.56088,0.84611,1.17202,0.76344,0.66185,0.73021,0.6255,0.679,1.17084,1.19555,0.000695271,0.000695271,0.000695271
21,337.309,0.57944,0.82198,1.17528,0.78667,0.60332,0.69752,0.57127,0.72885,1.36699,1.25746,0.000684022,0.000684022,0.000684022
22,352.814,0.58572,0.83759,1.18568,0.74433,0.63151,0.67915,0.55759,0.71738,1.3969,1.25869,0.000672774,0.000672774,0.000672774
23,368.299,0.56463,0.78658,1.16831,0.79331,0.59229,0.6752,0.55382,0.67363,1.4069,1.19605,0.000661525,0.000661525,0.000661525
24,383.247,0.5344,0.77183,1.14754,0.79153,0.64218,0.73919,0.62289,0.70389,1.19595,1.23879,0.000650276,0.000650276,0.000650276
25,398.946,0.55133,0.75702,1.15271,0.83156,0.62735,0.73404,0.62805,0.61466,1.2492,1.15452,0.000639027,0.000639027,0.000639027
26,413.783,0.55769,0.74197,1.15808,0.84054,0.65301,0.77373,0.65502,0.64726,1.1304,1.17483,0.000627778,0.000627778,0.000627778
27,430.701,0.5527,0.72109,1.1563,0.80097,0.65259,0.74717,0.62977,0.63799,1.12844,1.15944,0.000616529,0.000616529,0.000616529
28,447.767,0.54083,0.68999,1.14614,0.82359,0.65218,0.75282,0.64574,0.61987,1.09362,1.15268,0.00060528,0.00060528,0.00060528
29,464.402,0.53987,0.72715,1.16077,0.78338,0.6634,0.73904,0.61487,0.69085,1.17292,1.24551,0.000594031,0.000594031,0.000594031
30,479.271,0.52838,0.68612,1.14704,0.7642,0.66845,0.75328,0.63905,0.62774,1.16076,1.18782,0.000582783,0.000582783,0.000582783
31,495.123,0.53335,0.70371,1.13869,0.7424,0.66661,0.69824,0.59875,0.62593,1.2563,1.15081,0.000571534,0.000571534,0.000571534
32,510.103,0.51428,0.66872,1.13557,0.85029,0.64827,0.77037,0.64681,0.66712,1.09295,1.2136,0.000560285,0.000560285,0.000560285
33,525.808,0.51521,0.64474,1.12944,0.80661,0.65102,0.74902,0.64263,0.62592,1.15114,1.16448,0.000549036,0.000549036,0.000549036
34,540.413,0.52526,0.6705,1.14022,0.81387,0.68136,0.76404,0.64671,0.63476,1.09305,1.15878,0.000537787,0.000537787,0.000537787
35,556.065,0.49488,0.6236,1.10744,0.82781,0.63123,0.73745,0.6252,0.6697,1.21698,1.18648,0.000526538,0.000526538,0.000526538
36,570.755,0.48917,0.61177,1.1124,0.7984,0.66103,0.75805,0.63989,0.64074,1.17379,1.17854,0.000515289,0.000515289,0.000515289
37,586.787,0.49883,0.61653,1.11849,0.84715,0.63423,0.76039,0.66099,0.61968,1.20294,1.16355,0.00050404,0.00050404,0.00050404
38,602.902,0.49647,0.6057,1.12311,0.83686,0.65134,0.76158,0.65272,0.60568,1.08736,1.15267,0.000492792,0.000492792,0.000492792
39,619.557,0.47634,0.59181,1.10544,0.82158,0.65813,0.75684,0.64765,0.62469,1.14308,1.16651,0.000481543,0.000481543,0.000481543
40,633.756,0.50663,0.58367,1.11449,0.81293,0.65552,0.77178,0.66364,0.61064,1.06153,1.14435,0.000470294,0.000470294,0.000470294
41,648.631,0.4841,0.60012,1.11058,0.85135,0.64743,0.75574,0.65086,0.61657,1.04753,1.15264,0.000459045,0.000459045,0.000459045
42,663.399,0.48079,0.5733,1.11477,0.81467,0.69767,0.76699,0.667,0.59968,1.04457,1.13421,0.000447796,0.000447796,0.000447796
43,677.071,0.46633,0.5607,1.09319,0.75701,0.6934,0.74132,0.647,0.59233,1.10472,1.12971,0.000436547,0.000436547,0.000436547
44,691.816,0.48371,0.56451,1.1025,0.82305,0.69583,0.77086,0.67195,0.5911,1.06945,1.11605,0.000425298,0.000425298,0.000425298
45,705.518,0.4613,0.54443,1.09745,0.83155,0.63941,0.75348,0.65097,0.59391,1.11485,1.13031,0.000414049,0.000414049,0.000414049
46,720.314,0.46691,0.53755,1.0966,0.85711,0.65569,0.76544,0.66905,0.58089,1.02741,1.09969,0.000402801,0.000402801,0.000402801
47,734.011,0.47027,0.53659,1.09494,0.83913,0.64742,0.76123,0.6648,0.59361,1.12024,1.11613,0.000391552,0.000391552,0.000391552
48,748.709,0.46018,0.53617,1.09236,0.80346,0.65182,0.72435,0.63682,0.559,1.12585,1.08438,0.000380303,0.000380303,0.000380303
49,762.427,0.45721,0.53104,1.08904,0.81741,0.67489,0.77231,0.6783,0.58234,1.05605,1.12563,0.000369054,0.000369054,0.000369054
50,777.233,0.43832,0.50929,1.07597,0.80119,0.71387,0.77665,0.68495,0.5778,0.98824,1.1276,0.000357805,0.000357805,0.000357805
